"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"%s and above","%s og derover"
"Retrieve attribute list","Hent egenskabsliste"
"Retrieve attribute options","Hent egenskabsmuligheder"
"Retrieve categories tree","Hent kategoritræ"
"Retrieve category attributes","Hent kategoriegenskaber"
"Retrieve category data","Hent kategoridata"
"Retrieve hierarchical tree","Hent hierarkisk træ"
"Retrieve linked products","Hent tilknyttede produkter"
"Retrieve list of assigned products","Hent liste af tilknyttede produkter"
"Retrieve list of option values","Hent liste over værdier for muligheder"
"Retrieve list of product custom options","Hent liste over tilpasningsmuligheder"
"Retrieve one level of categories by website/store view/parent category","Hent et niveau af kategorier ud fra website/forretningsvisning/forældrekategori"
"Retrieve option value info","Hent info om tilpasningsmulighedsværdi"
"Retrieve product","Hent produkt"
"Retrieve product attribute sets","Hent produktegenskabssæt"
"Retrieve product image","Hent produktbillede"
"Retrieve product image list","Hent produktbilledliste"
"Retrieve product image types","Hent produktbilledtyper"
"Retrieve product link type attributes","Hent egenskaber for tilknyttede produkters typer"
"Retrieve product link types","Hent tilknyttede produkters typer"
"Retrieve product tier prices","Hent produktmængderabatter"
"Retrieve product types","Hent produkttyper"
"Retrieve products data","Hent produktdata"
"Retrieve products list by filters","Hent produktliste med filtre"
"Reviews","Bedømmelser"
"Roll Over for preview","Hold musen henover for preview"
"Root","Basis"
"SKU","Varenummer"
"SKU length should be %s characters maximum.","Varenummer må maksimalt være %s tegn."
"Save","Gem"
"Save Attribute","Gem egenskab"
"Save Attribute Set","Gem sæt"
"Save Category","Gem kategori"
"Save Search","Gem søgning"
"Save and Continue Edit","Gem og fortsæt redigering"
"Saved %d record(s)","%d poster gemt"
"Scope","Anvendelsesområde"
"Scope must not be changed, because the attribute is used in configurable products.","Anvendelsesområde kan ikke ændres, da egenskaben benyttes i konfigurerbare produkter."
"Search","Søg"
"Search Engine Optimizations","Søgemaskine-optimering (SEO)"
"Search Information","Søgning - detaljer"
"Search Query","Søgning"
"Search Term with such search query already exists.","Søgeord med dette søgeudtryk eksisterer allerede."
"Searchable","Søgbar"
"See price before order confirmation.","Se pris før ordrebekræftelse."
"Select Category...","Vælg kategori..."
"Select Configurable Attributes ","Vælg konfigurerbare egenskaber"
"Select Product...","Vælg produkt..."
"Select type of option","Vælg type af mulighed"
"Select type options required values rows.","Vælg krævede værdirækker for mulighed."
"Selected Product Types","Valgte produkttyper"
"Selected configuration is not available.","Den valgte konfiguration er utilgængelig."
"Send Count","Send antal"
"Set Ascending Direction","Sorter stigende"
"Set Descending Direction","Sorter faldende"
"Set Name","Sætnavn"
"Set Root Category for Store","Angiv basis-kategori for forretning"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angiv rodkategorien for denne butik i <a href=""%s"">konfigurationen</a>"
"Set special price","Angiv specialpris"
"Set/Get current store view","Sæt/hent nuværende forretningsvisning"
"Settings","Indstillinger"
"Shop By","Filtrering"
"Shopping Options","Mulige filtre"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tags"
"Simple Product","Simpelt produkt"
"Site Map","Sitemap"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Springer over importrække, ugyldig værdi ""%s"" for feltet ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Springer over importrække, obligatorisk felt ""%s"" for kunde mangler."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Springer over importrække, værdien ""%s"" er ugyldig for feltet ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Springer over importrække, obligatorisk felt ""%s"" for produkt mangler."
"Skipping import row, required field ""%s"" is not defined.","Springer over importrække, obligatorisk felt ""%s"" mangler."
"Skipping import row, store ""%s"" field does not exist.","Springer over importrække, butiksfelt ""%s"" eksisterer ikke."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Springer over importrække, værdien ""%s"" er ikke gyldig for feltet ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Nogle af de behandlede produkter har intet varenummer. Udfyld det venligst, inden du udfører handlinger på disse produkter."
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Nogle af produkterne nedenfor har ikke alle obligatoriske muligheder. Venligst redigér dem og konfigurér alle nødvendige valgmuligheder."
"Small Image","Lille billede"
"Small Image Width","Bredde på lille billede"
"Sort By","Sorter efter"
"Sort Order","Sorteringsrækkefølge"
"Source Model","Kilde-model"
"Special Expires On: %s","Udløbsdato for specialpris: %s"
"Special Price:","Specialpris:"
"Special Price: %s","Specialpris: %s"
"Starting at:","Starter ved:"
"Static","Statisk"
"Static block and products","Statisk blok og produkter"
"Static block only","Kun statisk blok"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store","Forretning"
"Store View","Forretningsvisning"
"Stretch","Stræk"
"Subscribe to RSS Feed","Modtag RSS"
"Super product attributes configuration","Egenskabskonfiguration for superprodukt"
"Synonym For","Synonym for"
"System Properties","System-egenskaber"
"Tag Name","Navn"
"Tax","Moms"
"Template","Skabelon"
"Text","Tekst"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","Det flade katalogmodul har en grænse på %2\$d filtrerbare/sorterbare egenskaber. Der er i øjeblikket %1\$d af dem. Reducer antallet af disse egenskaber for at bruge modulet"
"The attribute model is not defined","Egenskabsmodel er ikke defineret"
"The attribute set has been saved.","Egenskabssættet er gemt."
"The base directory to upload file is not specified.","Rodmappen til uploadede filer er ikke anivet."
"The category has been deleted.","Kategorien er slettet."
"The category has been saved.","Kategorien er gemt."
"The comparison list was cleared.","Sammenligningslisten er tømt."
"The file '%s' for '%s' has an invalid extension","Filen '%s' fra '%s' har en ugyldig filtype"
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","Filen '%s' som du har oploadet, er større end de %s Megabytes som er tilladt på serveren"
"The file you uploaded is larger than %s Megabytes allowed by server","Filen som du har oploadet, er større end de %s Megabytes som er tilladt på serveren"
"The filters must be an array.","Filtrene skal være et array."
"The image contents is not valid base64 data.","Billeddata er ikke gyldig base64-data."
"The image is not specified.","Billede er ikke angivet."
"The model collection resource name is not defined.","Resourcenavnet for modelkollektionen er ikke defineret."
"The product %s has been added to comparison list.","Produktet %s er sat på sammenligningslisten."
"The product %s has been removed from comparison list.","Produktet %s er fjernet fra sammenligningslisten."
"The product attribute has been deleted.","Produktegenskaben er slettet."
"The product attribute has been saved.","Produktegenskaben er gemt."
"The product has been created.","Produktet er oprettet."
"The product has been deleted.","Produktet er slettet."
"The product has been duplicated.","Produktet er kopieret."
"The product has been saved.","Produktet er gemt."
"The product has required options","Produktet har obligatoriske valgmuligheder"
"The review has been deleted","Anmeldelsen er slettet"
"The review has been saved.","Anmeldelsen er gemt."
"The review was removed by another user or does not exist.","Anmeldelsen er fjernet af en anden bruger, eller eksisterer ikke."
"The search was deleted.","Søgningen er slettet."
"The text is too long","Teksten er for lang"
"There are no %s available.","Der er ingen %s til rådighed."
"There are no customers for this alert","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no customers for this alert.","Der er ikke knyttet nogen kunder til denne infobesked"
"There are no products matching the selection.","Der er ikke nogen produkter, som matcher de kriterier, du har angivet."
"There was an error while request processing.","Der skete en fejl, mens forespørgslen blev behandlet"
"This Attribute no longer exists","Denne genskab eksisterer ikke længere"
"This attribute cannot be deleted.","Denne egenskab kan ikke slettes."
"This attribute cannot be edited.","Denne egenskab kan ikke redigeres."
"This attribute cannot be updated.","Denne egenskab kan ikke opdateres."
"This attribute is used in configurable products.","Denne egenskab benyttes i konfigurerbare produkter."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Denne egenskab bruges i konfigurerbare produkter. Den kan ikke fjernes fra egenskabssættet."
"This attribute no longer exists","Egenskaben eksisterer ikke længere"
"This attribute set no longer exists.","Dette egenskabssæt eksisterer ikke længere."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Denne gruppe indeholder egenskaber brugt i konfigurerbare produkter. Flyt venligst disse egenskaber til en anden gruppe og prøv igen."
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppe indeholder systemegenskaber. Flyt venligst alle systemegenskaber til en anden gruppe og prøv så igen."
"This is a required option","Dette er et obligatorisk felt"
"This product no longer exists.","Dette produkt eksisterer ikke længere."
"This search no longer exists.","Søgningen eksisterer ikke længere."
"This setting will be applied when all prices in the specific price interval are equal.","Denne indstilling gælder når alle priser i det angivne prisinterval er ens."
"Tier Pricing","Mængderabat"
"Tile","Tegl"
"Time Format","Tidsformat"
"Title","Titel"
"To reindex the enabled product(s), the store or product must be specified","For at genindeksere de aktiverede produkter, skal butik eller produkt angives"
"To see product price, add this item to your cart. You can always remove it later.","Læg varen i kurven for at se prisen. Du kan altid fjerne den igen."
"Top/Left","Top/venstre"
"Top/Right","Top/højre"
"Total Qty Base Items","Total antal basisvarer"
"Total incl. Tax: %1$s","Total inkl. moms: %1$s"
"Total of %d record(s) have been deleted.","I alt %d poster er slettet."
"Total of %d record(s) have been updated.","I alt %d poster er opdateret."
"Total of %d record(s) were updated","I alt %d poster er opdateret."
"Type","Type"
"URL Rewrite Management","URL-omskrivning"
"Unable to complete this request.","Kan ikke gennemføre handlingen."
"Unable to find a search term to delete.","Kunne ikke foretage sletning: ingen søgeord blev fundet"
"Unable to find an attribute to delete.","Der blev ikke fundet nogen egenskaber"
"Unable to get the product ID.","Kan ikke hente produkt-ID"
"Unassigned Attributes","Utilknyttede egenskaber"
"Unknown EAV indexer type ""%s"".","Ukendt EAV-indekseringstype ""%s""."
"Unknown attribute: %s.","Ukendt egenskab: %s"
"Unsupported product type ""%s"".","Ikke understøttet produkttype ""%s"""
"Up-sells","Opsalg"
"Update","Opdater"
"Update Attributes","Opdater egenskaber"
"Update Tier Price","Opdater mængderabat"
"Update assigned product","Opdater tilknyttet produkt"
"Update attribute","Opdater egenskab"
"Update attributes","Opdater egenskaber"
"Update category","Opdater kategori"
"Update custom option of product","Opdater tilpasninsmulighed for produkt"
"Update product","Opdater produkt"
"Update product image","Opdater produktbillede"
"Update product link","Opdater tilknyttet produkt"
"Update product tier prices","Opdater mængderabatter"
"Update value of custom option","Opdater værdi for tilpasningsmulighed"
"Upload new product image ","Upload nyt produktbillede "
"Use Canonical Link Meta Tag For Categories","Brug canonical link metatag for kategorier"
"Use Canonical Link Meta Tag For Products","Brug canonical link metatag for produkter"
"Use Categories Path for Product URLs","Anvend kategoristi i produktets URL"
"Use Config Settings","Anvend konfigurationsindstillinger"
"Use Default Value","Anvend standardværdi"
"Use Flat Catalog Category","Brug flade kategorier"
"Use Flat Catalog Product","Brug flade produkter"
"Use In Layered Navigation","Anvend i filtreret navigation"
"Use In Search Results Layered Navigation","Brug i filtreret navigation for søgeresultater"
"Use JavaScript Calendar","Brug JavaScript-kalender"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Brug statiske URLs for medieindhold i WYSIWYG for kataloget"
"Use To Create Configurable Product","Anvend til 'Opret konfigurerbart produkt'"
"Use Tree Like Category Sitemap","Brug træ som kategori-sitemap"
"Use config","Brug konfiguration"
"Use default","Brug standard"
"Use for Promo Rule Conditions","Brug til betingelser i regler"
"Use four-digit year format.","Brug firecifret format til år."
"Use in Advanced Search","Anvend i avanceret søgning"
"Use in Layered Navigation","Anvend i filtreret navigation"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Brug i filtreret navigation<br/>(Kan kun bruges med kataloginputtypen 'Dropdown')"
"Use in Quick Search","Anvend i kviksøgning"
"Used for Sorting in Product Listing","Bruges til sortering i produktliste"
"Used in Product Listing","Bruges i produktliste"
"Value for ""%s"" is invalid.","Værdien for ""%s"" er ugyldig"
"Value for ""%s"" is invalid: %s","Værdien for ""%s"" er ugyldig: %s"
"Varchar","Varchar (felttype)"
"View as","Vis som"
"Virtual Product","Virtuelt produkt"
"Visibility","Synlig i"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig på katalogsiderne"
"Visible on Product View Page on Front-end","Synlig på produktsider i frontend"
"WYSIWYG Editor","WYSIWYG editor"
"Watermark","Vandmærke"
"Watermark Default Size","Vandmærkestørrelse (standard)"
"Watermark Opacity, Percent","Vandmærkesynlighed, procent"
"Watermark Position","Vandmærkeposition"
"We Also Recommend","Vi anbefaler også"
"Website","Website"
"Websites","Websites"
"What's this?","Hvad er dette?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Skal muligheden ""Alle"" vises i ""Vis x pr. side""?"
"Will make search for the query above return results for this search.","Gør at søgningen ovenfor giver samme resultater som denne søgning."
"Wrong BuyRequest instance in options group.","Forkert købsforespørgsel i valgmulighedsgruppen."
"Wrong configuration item instance in options group.","Forkert konfigurationselement i valgmulighedsgruppen."
"Wrong configuration item option instance in options group.","Forkert valgmuligheds-konfigurationselement i valgmulighedsgruppen."
"Wrong option instance type in options group.","Forkert type for valgmulighedselementet i valgmulighedsgruppen."
"Wrong option type to get group instance.","Forkert valgmulighedstype for at hente gruppeelementet."
"Wrong product instance type in options group.","Forkert type af produktelement i valgmulighedsgruppen."
"Wrong product type filter specified","Forkert filter for produkttype"
"Wrong product type to extract configurable options.","Forkert produkt type til at udtrække konfigurérbare valgmuligheder."
"Year Range","Årsinterval"
"Yes","Ja"
"You cannot remove system attribute from this set.","Systemegenskaber kan ikke fjernes fra sættet."
"You have no items to compare.","Der er ingen varer til sammenligning"
"You may also be interested in the following product(s)","Måske vil du også være interesseret i disse produkt(er)?"
"Zoom In","Zoom ind"
"Zoom Out","Zoom ud"
"and","og"
"and above","og derover"
"categories","kategorier"
"each","pr. stk."
"ex. http://domain.com","eks. http://minshop.dk"
"leave blank if its not an image","undlad at udfylde hvis det ikke er et billede"
"per page","pr. side"
"products","produkter"
"px.","px."
"save","spar"
"select all","Vælg alle"
"unselect all","Fravælg alle"
"x","x"
