"-OR-","-ELLER-"
"Website Payments Standard Payment","Website Payments Standard Payment"
"Website Payments Standard Settings","Website Payments Standard indstillinger"
"What is PayPal?","Hvad er PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Hvorvidt der skal oprettes en betalingsaftale, hvis der ikke er nogen aktiv betalingsaftale tilgængelig."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Optræder kun som betalingsmulighed for kunder der har mindst én aktiv betalingsaftale."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Vil du oprette en betalingsaftale og gøre fremtidige PayPal-betalinger nemmere?"
"Wrong PayPal Express Checkout Token specified.","Forkert PayPal Express Checkout Token angivet."
"Yes","Ja"
"Yes. Matched Address and five-didgit ZIP","Ja. Adresse og 5-cifret ZIP matchet."
"You cannot void a verification transaction","Du kan ikke annullere en verifikationstransaktion"
"You will be redirected to the PayPal website in a few seconds.","Du sendes videre til PayPal's website om et øjeblik."
"You will be redirected to the PayPal website when you place an order.","Du sendes videre til PayPal's website når du laver en bestilling."
"You will be redirected to the PayPal website.","Du sendes videre til PayPal's website."
"You will be required to enter your payment details after you place an order.","Du vil blive bedt om betalingsoplysninger efter du har godkendt ordren."
"Zip/Postal Code","Postnummer"
"eBay Auction Payment","eBay auktionsbetaling"
